native,name,description,source,effective_domain_size,term_size,p_value,intersections,intersection_size,pubmed_relevance,score,validated_publications,num_publications
TF:M00194_1,Factor: NF-kappaB; motif: NGGGGAMTTTCCNN; match class: 1,Factor: NF-kappaB; motif: NGGGGAMTTTCCNN; match class: 1,TF,20092,389,0.0014929485323199473,"['ADAM8', 'ATOX1', 'B2M', 'BST2', 'CA4', 'CCL25', 'CD300A', 'CD40', 'CD70', 'CD83', 'CEACAM19', 'CEACAM8', 'CHI3L1', 'CTSS', 'CXCL10', 'DPEP2', 'DPP4', 'EPHB4', 'ESAM', 'FGFR2', 'IGSF3', 'IL15RA', 'IL22RA1', 'IL36G', 'KLK10', 'KLK11', 'KLK8', 'LGALS1', 'LRG1', 'PAEP', 'PCDH7', 'PHLDB1', 'PINLYP', 'PRG2', 'RASSF2', 'SCARB2', 'SMOC1', 'SPESP1', 'SYT1', 'TNFAIP2', 'TNFRSF10B', 'TNFRSF9', 'TPMT', 'ZBTB17']",44,0.0,1.0014929485323198,[],0
HPA:0131292,Colon; endocrine cells[≥Medium],Colon; endocrine cells[≥Medium],HPA,10995,401,2.084458069569921e-06,"['AGR2', 'AGR3', 'B2M', 'BNIP3L', 'BSG', 'CA12', 'CDH1', 'CDH17', 'CEACAM5', 'CHCHD10', 'CHGA', 'CHGB', 'CKAP4', 'COL18A1', 'CTSD', 'CTSE', 'CTSH', 'CTSS', 'CXADR', 'DSG2', 'FABP1', 'FUS', 'GALNT3', 'GUCA2A', 'IL18', 'INSL5', 'KLF4', 'KRT18', 'KRT19', 'LGALS3', 'LGALS4', 'MSLN', 'NOTCH1', 'P4HB', 'PADI2', 'PAM', 'PDIA3', 'PIGR', 'PSIP1', 'PTPRN2', 'PYY', 'QPCT', 'RNASE1', 'SCG2', 'SCGN', 'SIRPA', 'SOX9', 'SPINK1', 'SPINK5', 'TFF1', 'TPM3', 'TYRP1', 'VAMP5', 'VSIG2', 'YAP1']",55,0.006072874493927126,0.9939292099641425,[],0
HPA:0151302,Duodenum; enterocytes[≥Medium],Duodenum; enterocytes[≥Medium],HPA,10995,427,1.5428169570306517e-06,"['ADA', 'AGR2', 'AGR3', 'APOA4', 'APOC1', 'B2M', 'B3GNT7', 'BNIP3L', 'BSG', 'C1QA', 'CD74', 'CDH1', 'CDH17', 'CDH2', 'CHCHD10', 'CKAP4', 'COL18A1', 'CTSD', 'CTSE', 'CTSH', 'CTSS', 'CXADR', 'DNER', 'DSG2', 'FABP1', 'FABP2', 'FUS', 'GALNT3', 'GCHFR', 'GPRC5C', 'IL18', 'INPP1', 'JCHAIN', 'KLF4', 'KRT18', 'KRT19', 'LGALS3', 'LGALS4', 'LGMN', 'NOTCH1', 'P4HB', 'PDIA3', 'PDZK1', 'PIGR', 'PSIP1', 'RBP2', 'REG1A', 'REG1B', 'RRM2', 'S100G', 'SOX9', 'SPINK5', 'TMPRSS15', 'TPM3', 'TXNDC5', 'VAMP5', 'VSIG2', 'YAP1']",58,0.019230769230769232,0.9807707735861878,[],0
GO:0098858,actin-based cell projection,"""A cell projection supported by an assembly of actin filaments, and which lacks microtubules."" [PMID:15661519]",GO:CC,17186,142,0.02971646940862432,"['ACTA2', 'ACTN2', 'AOC3', 'CBLIF', 'CD302', 'CXADR', 'DMD', 'EPS8L2', 'EZR', 'ICAM2', 'ITGAV', 'JAM3', 'KITLG', 'PALM', 'STX4', 'TGFB1', 'VCAM1']",17,0.08653846153846154,0.9431780078701627,[],0
GO:0005770,late endosome,"""A prelysosomal endocytic organelle differentiated from early endosomes by lower lumenal pH and different protein composition. Late endosomes are more spherical than early endosomes and are mostly juxtanuclear, being concentrated near the microtubule organizing center."" [NIF_Subcellular:nlx_subcell_20090702, PMID:11964142, PMID:2557062]",GO:CC,17186,237,0.04554854175494084,"['B2M', 'BST2', 'CD74', 'CRHBP', 'CST7', 'CTSH', 'CTSL', 'CTSS', 'EGFR', 'F2R', 'GRN', 'IGF2R', 'IL12B', 'LAMP3', 'LGMN', 'PCSK9', 'PSAP', 'RNF149', 'SCARB2', 'SFTPA2', 'SIGLEC1', 'SLC39A14', 'STX8', 'VAMP5']",24,0.1176923076923076,0.9278562340626333,[],0
GO:0031406,carboxylic acid binding,"""Binding to a carboxylic acid, an organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."" [GOC:mah, ISBN:0198506732]",GO:MF,17454,145,1.9401234530340803e-08,"['AGRN', 'AMBP', 'APOC1', 'CD33', 'FABP1', 'FABP2', 'FABP3', 'FABP4', 'FABP5', 'FABP6', 'FABP9', 'FCN1', 'FOLR1', 'FOLR2', 'GFRA2', 'MDK', 'NOS1', 'NOS3', 'PLA2G1B', 'PSAP', 'PTGDS', 'RBP2', 'RBP5', 'RBP7', 'RTN4R', 'SELE', 'SIGLEC10', 'SIGLEC6', 'SIGLEC7', 'SIGLEC8']",30,0.0946153846153846,0.90538463478585,[],0
GO:0005509,calcium ion binding,"""Binding to a calcium ion (Ca2+)."" [GOC:ai]",GO:MF,17454,346,7.266941231358868e-11,"['ADAM8', 'ADAMTS13', 'AGRN', 'AIF1L', 'AMY2A', 'ANXA10', 'AOC3', 'CALB1', 'CALB2', 'CANT1', 'CDH2', 'CLEC6A', 'CLGN', 'COMP', 'DNER', 'DSC2', 'DSG2', 'DSG3', 'EFHD1', 'ENPP2', 'F9', 'FBLN2', 'GALNT3', 'GSN', 'HPGDS', 'HRC', 'ITGA5', 'LETM1', 'MMP12', 'MMP13', 'NCS1', 'NUCB2', 'PAM', 'PKD2', 'PLA2G10', 'PLA2G1B', 'PLA2G2A', 'PNLIPRP1', 'PON1', 'PPP3R1', 'PRSS2', 'S100A11', 'S100A12', 'S100A13', 'S100A4', 'S100G', 'S100P', 'SCGN', 'SMOC2', 'SPARCL1', 'SPOCK1', 'SYT1', 'THBD', 'THBS4', 'TTN', 'VSNL1']",56,0.11538461538461534,0.8846153846880541,[],0
REAC:R-HSA-6798695,Neutrophil degranulation,Neutrophil degranulation,REAC,11004,476,2.87545914363449e-16,"['ACAA1', 'ADA2', 'ADAM8', 'ADGRE5', 'ATP6AP2', 'B2M', 'B4GALT1', 'BST2', 'CANT1', 'CD14', 'CD300A', 'CD33', 'CD55', 'CD58', 'CD93', 'CEACAM6', 'CEACAM8', 'CFD', 'CHI3L1', 'CHIT1', 'CKAP4', 'CLEC12A', 'CLEC4D', 'CLEC5A', 'CR1', 'CST3', 'CSTB', 'CTSB', 'CTSD', 'CTSH', 'CTSS', 'CTSZ', 'FABP5', 'FCAR', 'FCGR2A', 'FCGR3B', 'FCN1', 'GM2A', 'GRN', 'GSN', 'HMOX2', 'IGF2R', 'ITGAV', 'LAIR1', 'LCN2', 'LGALS3', 'LILRB2', 'LRG1', 'LTA4H', 'MME', 'MMP8', 'MMP9', 'MPO', 'NFASC', 'NHLRC3', 'NPC2', 'OLR1', 'ORM1', 'OSCAR', 'PADI2', 'PGLYRP1', 'PIGR', 'PLAU', 'PLAUR', 'PRG2', 'PRG3', 'PRSS2', 'PRTN3', 'PSAP', 'PTPRC', 'PTPRN2', 'PTX3', 'QPCT', 'QSOX1', 'RAB44', 'RAB6A', 'RETN', 'RNASE3', 'RNASET2', 'S100A11', 'S100A12', 'S100P', 'SERPINA3', 'SERPINB6', 'SIRPA', 'SIRPB1', 'TIMP2', 'TNFRSF1B', 'TXNDC5']",89,0.11692307692307685,0.8830769230769234,[],0
GO:0046470,phosphatidylcholine metabolic process,"""The chemical reactions and pathways involving phosphatidylcholines, any of a class of glycerophospholipids in which the phosphatidyl group is esterified to the hydroxyl group of choline. They are important constituents of cell membranes."" [ISBN:0198506732]",GO:BP,16268,62,0.0005701274139285689,"['APOA1', 'APOA2', 'APOA4', 'APOC1', 'DBI', 'ENPP2', 'LPCAT2', 'PLA2G10', 'PLA2G15', 'PLA2G1B', 'PLA2G2A', 'PLA2G7', 'PON1']",13,0.1338461538461538,0.8667239735677748,[],0
WP:WP129,Matrix metalloproteinases,Matrix metalloproteinases,WP,8752,30,4.067812747365104e-06,"['BSG', 'MMP1', 'MMP10', 'MMP12', 'MMP13', 'MMP3', 'MMP7', 'MMP8', 'MMP9', 'TIMP1', 'TIMP2', 'TIMP4', 'TNF']",13,0.1361538461538461,0.8638502216589012,[],0
